name	descr	pvalue	qvalue	NES	ES
REGULATION OF STEROID METABOLIC PROCESS%GOBP%GO:0019218	RESPONSE TO WOUNDING	0.926211453744493	1	-0.764817832703245	-0.228516639182122
DAMP SALVAGE%GOBP%GO:0106383	AXON ENSHEATHMENT	0.0988142292490119	0.737495820665739	1.29151143989322	0.399496688925527
REGULATION OF TONGUE MUSCLE CELL DIFFERENTIATION%GOBP%GO:2001035	REGULATION OF MEGAKARYOCYTE DIFFERENTIATION	0.695014662756598	1	-0.842797706733812	-0.361870413268559
L-LEUCINE METABOLIC PROCESS%GOBP%GO:0006551	REGULATION OF VESICLE SIZE	0.0120481927710843	0.444340235192266	-1.60100029022638	-0.721507978425408
NEGATIVE REGULATION OF RETROGRADE TRANSPORT, ENDOSOME TO GOLGI%GOBP%GO:1905280	MITOCHONDRIAL RNA PROCESSING	0.743967828418231	1	-0.812590740738942	-0.312406462568914
REGULATION OF GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071622	APPENDAGE MORPHOGENESIS	0.617283950617284	1	-0.900215181614124	-0.352204519618202
PLATELET-DERIVED GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0048008	BIOGENIC AMINE BIOSYNTHETIC PROCESS	0.710365853658537	1	0.823647511666917	0.314180871091483
CHROMOSOMAL DNA METHYLATION MAINTENANCE FOLLOWING DNA REPLICATION%GOBP%GO:0141119	FATTY ACID TRANSPORT	0.989115646258503	1	-0.544355082031677	-0.211498098794146
CARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0046395	PROTEIN TRANSPORT TO VACUOLE INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS VIA THE MULTIVESICULAR BODY SORTING PATHWAY	0.251506024096386	0.934837418472926	-1.20456129908361	-0.542848488596094
PIGMENT METABOLIC PROCESS INVOLVED IN PIGMENTATION%GOBP%GO:0043474	NEGATIVE REGULATION OF NUCLEOTIDE METABOLIC PROCESS	0.979289940828402	1	0.568781399724245	0.224926999855484
SPHINGOID BIOSYNTHETIC PROCESS%GOBP%GO:0046520	NEUTROPHIL CHEMOTAXIS	0.2125	0.906362534626039	1.17604831620954	0.389283609811472
POSITIVE REGULATION OF DIGESTIVE SYSTEM PROCESS%GOBP%GO:0060456	LEUKOTRIENE METABOLIC PROCESS	0.633233532934132	1	-0.886034144709998	-0.393301215812996
EPIBOLY%GOBP%GO:0090504	POSITIVE REGULATION OF IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE	0.770773638968481	1	-0.769075052064036	-0.320133044009571
RNA EXPORT FROM NUCLEUS%GOBP%GO:0006405	DNA-TEMPLATED TRANSCRIPTION TERMINATION	0.180610889774236	0.879585992288092	-1.23835029345747	-0.470493016006219
ACTIVATION OF PLASMA PROTEINS INVOLVED IN ACUTE INFLAMMATORY RESPONSE%GOBP%GO:0002541	DETECTION OF MECHANICAL STIMULUS	0.739520958083832	1	-0.812720822403744	-0.360758204947679
EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT%GOBP%GO:0045022	REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY	1	1	0.5897908605747	0.178210228120617
EMBRYONIC LUNG DEVELOPMENT%GOBP%GO:1990401	NEGATIVE REGULATION OF CALCIUM ION TRANSPORT	0.286324786324786	0.972683044111615	-1.16820399332689	-0.481034237406418
REGULATION OF HEART MORPHOGENESIS%GOBP%GO:2000826	UV-DAMAGE EXCISION REPAIR	0.92436974789916	1	0.605751291688349	0.258163434443892
PROSTATE GLANDULAR ACINUS DEVELOPMENT%GOBP%GO:0060525	NEGATIVE REGULATION OF HIPPO SIGNALING	0.655072463768116	1	-0.870655826776224	-0.367299044534471
MULTI-ORGANISM REPRODUCTIVE PROCESS%GOBP%GO:0044703	DETECTION OF EXTERNAL STIMULUS	0.967032967032967	1	0.627442762995897	0.215221122923136
RENAL SODIUM ION TRANSPORT%GOBP%GO:0003096	CELL SURFACE RECEPTOR SIGNALING PATHWAY VIA STAT	0.126631853785901	0.80398736148814	-1.28363873017392	-0.456463394234905
